# Rime user dictionary
#@/db_name	ounei_copy
#@/db_type	userdb
#@/rime_version	1.11.2
#@/tick	11579
#@/user_id	TAKUSEI-DESKTOP
b;[ah 	柄	c=1 d=1 t=8048
cj[sd yu[hv 	參與	c=1 d=1 t=3029
ck[co 	草	c=5 d=3.96037 t=8675
ck[fk 	操	c=2 d=1.97531 t=11102
ck[fk dk[vp 	操刀	c=1 d=1 t=2587
ck[fk ni[rd ma[nm 	操你媽	c=1 d=1 t=11513
ck[fk xn[dv 	操心	c=1 d=1 t=10785
ck[fk zo[rv 	操作	c=4 d=1 t=9719
ck[fk zo[rv xi[py ts[sw 	操作系統	c=1 d=1 t=6888
ck[ho ck[fk 	曹操	c=1 d=1 t=11558
ck[ho ni[ub ma[wm 	曹尼瑪	c=1 d=1 t=11512
cl[aa 	採	c=1 d=1 t=4205
cl[aa ji[va 	採集	c=1 d=1 t=4190
cl[aa ys[ou 	採用	c=4 d=1.81571 t=2365
cl[ac lc[md 	材料	c=1 d=1.00275 t=7731
cl[ap 	彩	c=1 d=1 t=20
cl[ca 	菜	c=1 d=1 t=8555
cl[ca nc[nh 	菜鳥	c=1 d=1 t=5087
cl[hu 	才	c=2 d=1.07465 t=522
cl[hu ng[sb 	才能	c=3 d=1.0007 t=3831
cl[qf 	猜	c=1 d=1 t=4882
co[fr bl[bw 	挫敗	c=0 d=0.1 t=2176
co[fr bl[bw gj[wx 	挫敗感	c=1 d=1 t=2177
co[fr ve[fj 	挫折	c=1 d=1 t=2176
co[fy 	搓	c=5 d=1.00001 t=10993
co[jg go[cz 	錯過	c=2 d=1 t=10808
co[jg wu[yk 	錯誤	c=2 d=1.30119 t=1740
cp[uz dh[ax 	存檔	c=5 d=1.84158 t=9451
cp[uz dh[ax dm[bd 	存檔點	c=2 d=1.90937 t=9465
cp[uz ge[ru dh[ax 	存個檔	c=1 d=1 t=4622
cp[uz iu[ry 	存儲	c=2 d=1.99005 t=4641
cp[uz yi[bs 	存疑	c=1 d=1 t=1894
cp[uz zl[ut 	存在	c=5 d=2.06996 t=6094
cs[rr 	從	c=3 d=1.00238 t=2090
